simp,trad,memo,sample
彩,彩 綵,表示“五彩的絲織品”用“綵”，其餘用“彩”。,張燈結綵 綵頭 剪綵 彩票 五彩繽紛
占,佔 占,與巫術有關用“占”，讀音zhan1，其餘用“佔”，讀音zhan4。,占卜 占星 佔領 佔據
欲,欲 慾,“慾”只用於“情慾”有關意義，其餘用“欲”。,獸慾 慾火 貪欲 暢所欲言 震耳欲聾
扎,扎 紮,表示“纏束”、“軍隊屯駐”用“紮”，其餘用“扎”。,駐紮 包紮 安營紮寨 扎針 扎花 掙扎
熏,熏 燻,“燻”特指一種烹飪方法，其餘用“熏”。,熏陶 利慾熏心 臭氣熏天 燻肉
贊,贊 讚,與“表揚”有關意義用“讚”，其餘用“贊”。,贊助 贊同 讚美
尝,嘗 嚐,與“喫”、“品嚐”有關意義用“嚐”，其餘用“嘗”。,嘗試 品嚐
烟,煙 菸,“煙”用於一般煙霧，與“菸草”有關時用“菸”。,煙霧 菸草 香菸
周,周 週,與“週期、環繞”有關用“週”，其餘意義爲“周”。,周朝 眾所周知 週歲 週而復始
柜,櫃 柜,表示收藏東西的傢具時作“櫃”，表示一種落葉喬木用“柜”。,書櫃 柜柳
喂,餵 喂,表示“餵養”時用“餵”，“喂”僅用作語氣詞。,餵豬 喂！
幸,幸 倖,“倖”專指“意外地成功或避免”，其餘一般用“幸”。,倖免 倖存 僥倖 倖運 幸福 寵幸 慶幸
凶,兇 凶,與占卜吉凶有關用“凶”，與“殺害”有關用“兇”。,凶宅 吉凶 兇殺 兇器 行兇
杰,傑 杰,“杰”常用於人名，表示“出眾”用“傑”。,傑出 俊傑 傑作 李連杰 周傑杰 狄仁杰
针,針 鍼,“鍼”用於以砭石製成的針，其餘均作“針”。,針線 針鋒相對 鍼砭 鍼灸
戚,戚 慼 鏚,表示“憂愁”、“悲傷”用“慼”，“鏚”爲一種武器，其他意義用“戚”。,悲慼 慼慼 干鏚羽旄 戚繼光 親戚
托,托 託,與“捧呈”、“承受”有關用“托”，與“寄”、“委任”有關用“託”。,襯托 槍托 寄託 託付 推託
挨,挨 捱,表示“承受”、“拖延”、“抗拒”有關用“捱”，讀爲ai2，其餘用“挨”，讀爲ai1。,挨家挨戶 捱打
挽,挽 輓,與“哀悼死者”有關用“輓”，其餘意義爲“挽”。,挽救 力挽狂瀾 輓聯 哀輓
栗,慄 栗,表示“因恐懼而發抖”用“慄”，其餘意義用“栗”。,板栗 火中取栗 戰慄 不寒而慄
炼,煉 鍊,專指“熔鍊金屬”時用“鍊”，一般意義用“煉”。,鍊鐵 淬鍊 煉乳 修煉
链,鏈 鍊,“鏈”用作一般的“金屬繩狀物”，“鍊”專指首飾。,鎖鏈 鏈接 項鍊 金手鍊
穗,穗 繐,“繐”用作“結紮成的裝飾物”，其餘用“穗”。,麥穗 帽繐
雕,雕 鵰,“鵰”爲一種猛禽，與“雕刻”有關時用“雕”。,一箭雙鵰 雕刻 雕蟲小技
梁,樑 梁,與“橋樑”、“棟樑”有關用“樑”，其餘意義爲“梁”。,樑上君子 鼻樑 大梁城 梁朝 梁山
升,升 昇,“昇”字帶有濃烈喜慶氣氛，其餘用“升”。,上升 一升水 旭日東昇 歌舞昇平
摆,擺 襬,表示“衣服下緣的部分”用“襬”，其餘用“擺”。,搖擺 擺放 裙襬 下襬
岩,巖 岩,“岩”只用於“岩石”相關意義，其餘用“巖”。,沉積岩 岩漿 巖壁 中空成巖
娘,娘 孃,“孃”意義爲“母親”，其餘用“娘”。,老孃 爹孃 孃家 姑娘 娘子 婆娘 舞娘
僵,僵 殭,“殭”意義爲“不腐朽的屍體”，其餘用“僵”。,殭屍 殭蠶 僵硬 僵局 李代桃僵 百足之蟲，死而不僵
药,藥 葯,“葯”特指“花的雄蕊中貯藏劃分的部份”，其餘用“藥”。,醫藥 良藥 芍藥 藥到病除 花葯
余,餘 余,“余”爲第一人稱代詞或地名。,剩餘 多餘 余吾鎮
蜡,蠟 蜡,“蜡”只用於“蜡月”。,蠟燭 蜂蠟 石蠟 蜡月
出,出 齣,“齣”只用於“一齣戲”。,出入 出道 一齣戲
卜,卜 蔔,“蔔”只用於“蘿蔔”。,占卜 卜辭 蘿蔔
同,同 衕,“衕”只用於“衚衕”。,大同 衚衕
板,板 闆,“闆”只用於“老闆”。,板塊 老闆
漓,漓 灕,“灕”只用於“灕江”。,大汗淋漓 淋漓盡致 灕江 灕水
术,術 朮,“朮”僅用於中藥名“白朮”。,法術 白朮
万,萬 万,“万”只用於複姓“万俟”。,千萬 万俟
党,黨 党,“党”只用於“党項族”或姓氏。,黨派 黨同伐異 党項
种,種 种,“种”爲姓氏，其餘用“種”。,種類 樹種 種植 种放
仑,侖 崙,表示“崑崙”時用崙。,昆侖 加侖
秋,秋 鞦,“鞦”只用於“鞦韆”。,秋季 鞦韆
千,千 韆,“韆”只用於“鞦韆”。,千萬 鞦韆
帘,簾 帘,表示旗幟狀的標識用“帘”。,窗簾 珠簾 酒帘
庵,庵 菴,“菴”只用作“菴藹”，讀作an4。,尼姑庵 菴藹
尸,屍 尸,“尸”表示“主持”、“佔用”。,屍體 尸位素餐
胡,胡 衚 鬍,“衚”只用於“衚衕”，“鬍”只用於“鬍鬚”。,胡人 胡亂 衚衕 鬍鬚
须,須 鬚,“鬚”只用於“鬍鬚”。,必須 鬍鬚
据,據 据,“据”只用於“拮据”。,數據 根據 拮据
筑,築 筑,“筑”爲古代一種樂器，其餘用“築”。,建築 築巢 擊筑
夸,誇 夸,“夸”見於古文和專有名詞。,誇大 誇獎 夸父 夸克
苹,蘋 苹,“苹”、“蘋”爲兩種不同的植物。,蘋果 白蘋 苹縈 食野之苹
袅,裊 嫋,與“嬌柔”、“婉轉”有關用“嫋”，其餘意義用“裊”。,嫋娜 餘音嫋嫋 裊繞
暗,暗 闇,與“愚昧”有關意義用“闇”，其餘用“暗”。,闇昧 愚闇 偏信則闇 棄暗投明 暗號 暗示 黑暗
冲,衝 沖 冲,與“撞擊”有關用“衝”，與“水流”有關用“沖”，“冲”見於古文。,要衝 衝突 俯衝 沖牛奶
