科技发展有限公司	科技【發】展有限公司
天要下雨娘要嫁人	天要下雨【娘】要嫁人
纳斯达克综合指数	納斯達【克】綜合指數
一种相思两处闲愁	一【種】相思兩處閑愁
中国公民出境旅游	中國公民【出】境旅【遊】
对房地产开发企业	對房地產開【發】企業
好久没有看到你了	好久沒有看到你【了】
第十一个五年规划	第十一個五年規【劃】
外面的世界很无奈	外【面】的世界很無奈
说了你也不知道啊	說【了】你也不知道啊
生产力和生产关系	生產力和生產關【係】
恶魔城月下夜想曲	【惡】魔城月下夜想【曲】
只要能和你在一起	【只】要能和你在一起
相关评论进入论坛	相關評論進入論【壇】
智者千虑必有一失	智者【千】慮必有一失
德意志联邦共和国	德意【志】聯邦共和國
公司的法定代表人	公司的法定代【表】人
费了九牛二虎之力	費【了】九牛二虎之力
生命中的最后一天	生命中的最【後】一天
医院信息管理系统	醫院信息管理【係】統
直到现在我才明白	直到現在我【才】明白
中国网络游戏产业	中國網絡【遊】戲產業
职业能力倾向测验	職業能力傾【向】測驗
国家税务总局发布	國家稅務總局【發】【佈】
钢铁产业发展政策	鋼鐵產業【發】展政策
香港特别行政区第	香港特【別】行政區第
互联网络发展状况	互聯網絡【發】展狀況
那我就不知道了啊	那我就不知道【了】啊
不知道发生了什么	不知道【發】生【了】什麼
为了自己喜欢的人	爲【了】自己喜歡的人
自己动手丰衣足食	自己動手【豐】衣足食
卫生部新闻发言人	衛生部新聞【發】言人
封闭式基金折价率	封閉式基金【折】價率
冬季到台北来看雨	【冬】季到【臺】北來看雨
麻雀虽小五脏俱全	麻雀雖小五【髒】俱全
爱一个人并不一定	愛一個人【並】不一定
汽车产业发展政策	汽車產業【發】展政策
吐鲁番的葡萄熟了	吐魯番的葡萄熟【了】
温州职业技术学院	溫州職業技【術】學院
我学会了很多东西	我學會【了】很多東西
不知道怎么回事啊	不知道怎麼【回】事啊
律师事务所合伙人	律師事務所合【夥】人
已经有了另一个人	已經有【了】另一個人
一切都是过眼云烟	一切都是過眼【雲】【煙】
一夫当关万夫莫开	一夫【當】關【萬】夫莫開
南京大屠杀幸存者	南京大屠殺【幸】存者
为什么不说心里话	爲什麼不說心【里】話
有福同享有难同当	有福【同】享有難【同】【當】
从此一发不可收拾	從此一【發】不可收拾
达到历史最高水平	達到【歷】史最高水平
只见树木不见森林	【只】見樹木不見森林
我是一棵秋天的树	我是一棵【秋】天的樹
大力发展资本市场	大力【發】展資本市場
根据世界卫生组织	根【據】世界衛生組織
直到现在我才发现	直到現在我【才】【發】現
型高致病性禽流感	型高【致】病性禽流感
好久没有看见你了	好久沒有看見你【了】
新闻出版总署副署	新聞【出】版總署副署
进出口商品检验局	進【出】口商品檢驗局
日前接受记者采访	日前接受記者【採】訪
不知道怎么去面对	不知道怎麼去【面】對
根据中国人民银行	根【據】中國人民銀行
如有雷同纯属巧合	如有雷【同】純屬巧合
复方氨酚烷胺胶囊	【復】方氨酚烷胺膠囊
青出于蓝而胜于蓝	青【出】於藍而勝於藍
系统配置实用程序	【係】統配置實用程序
世界的和平与发展	世界的和平與【發】展
千里之堤溃于蚁穴	【千】【里】之堤潰於蟻穴
你现在在干什么啊	你現在在【幹】什麼啊
台湾民主自治同盟	【臺】灣民主自治【同】盟
新闻出版总署署长	新聞【出】版總署署長
万万没有想到的是	【萬】【萬】沒有想到的是
在全国范围内展开	在全國【範】圍內展開
我不是告诉你了吗	我不是告訴你【了】嗎
阜新蒙古族自治县	阜新【蒙】古族自治縣
前事不忘后事之师	前事不忘【後】事之師
北京师范大学教授	北京師【範】大學教授
一个国家两种制度	一個國家兩【種】【制】度
我以为你不理我了	我以爲你不理我【了】
引无数英雄竞折腰	引無數英雄競【折】腰
中国历史上第一个	中國【歷】史上第一個
只可意会不可言传	【只】可意會不可言傳
如果有一天我死了	如果有一天我死【了】
外交部发言人孔泉	外交部【發】言人孔泉
比上不足比下有余	比上不足比下有【餘】
万事俱备只欠东风	【萬】事俱備【只】欠東風
国务院总理朱镕基	國務院總理【朱】鎔基
国家发改委能源局	國家【發】改委能源局
上有天堂下有苏杭	上有天堂下有【蘇】杭
为了自己所爱的人	爲【了】自己所愛的人
不知道该怎么办了	不知道該怎麼辦【了】
才下眉头却上心头	【才】下眉頭卻上心頭
生产力与生产关系	生產力與生產關【係】
究竟是怎么一回事	究竟是怎麼一【回】事
一点机会都没有了	一點機會都沒有【了】
老骥伏枥志在千里	老驥伏櫪【志】在【千】【里】
最高人民法院核准	最高人民法院核【準】
螳螂捕蝉黄雀在后	螳螂捕蟬黃雀在【後】
奠定了扎实的基础	奠定【了】【扎】實的基礎
参拜靖国神社问题	【參】拜靖國神社問題
美国国务院发言人	美國國務院【發】言人
狗嘴里吐不出象牙	狗嘴【里】吐不【出】象牙
出席了新闻发布会	【出】席【了】新聞【發】【佈】會
一个愿打一个愿挨	一個願打一個願【挨】
攻无不克战无不胜	攻無不【克】戰無不勝
欲加之罪何患无辞	【欲】加之罪何患無辭
捡了芝麻丢了西瓜	撿【了】芝麻丟【了】西瓜
锲而不舍金石可镂	鍥而不【舍】金石可鏤
种瓜得瓜种豆得豆	【種】瓜得瓜【種】豆得豆
教育部新闻发言人	教育部新聞【發】言人
召开了新闻发布会	召開【了】新聞【發】【佈】會
停止参拜靖国神社	停止【參】拜靖國神社
提高单位面积产量	提高單位【面】積產量
莫等闲白了少年头	莫等閑白【了】少年頭
奥林匹克森林公园	奧林匹【克】森林公園
新闻发布会在北京	新聞【發】【佈】會在北京
中国人民银行宣布	中國人民銀行宣【佈】
直到今天我才发现	直到今天我【才】【發】現
北京国际马拉松赛	北京國際馬拉【鬆】賽
木垒哈萨克自治县	木壘哈薩【克】自治縣
不知道怎么办才好	不知道怎麼辦【才】好
主教练里杰卡尔德	主教練【里】【傑】卡爾德
明枪易躲暗箭难防	明槍易躲【暗】箭難防
昨天接受记者采访	昨天接受記者【採】訪
成事不足败事有余	成事不足敗事有【餘】
王婆卖瓜自卖自夸	王婆賣瓜自賣自【誇】
现场总线控制系统	現場總線控【制】【係】統
马斯特里赫特条约	馬斯特【里】赫特條約
前不着村后不着店	前不著村【後】不著店
建筑抗震设计规范	建【築】抗震設計規【範】
公安局新闻发言人	公安局新聞【發】言人
最熟悉的陌生人了	最熟悉的陌生人【了】
胡锦涛总书记的重	【胡】錦濤總書記的重
据外交部网站消息	【據】外交部網站消息
基本输入输出系统	基本輸入輸【出】【係】統
只知其一不知其二	【只】知其一不知其二
甲状腺机能亢进症	甲狀腺機能亢進【症】
王侯将相宁有种乎	王侯將相寧有【種】乎
患有先天性心脏病	患有先天性心【髒】病
中国国民党副主席	中國國民【黨】副主席
北京师范大学金融	北京師【範】大學金融
一日不见如隔三秋	一日不見如隔三【秋】
关系的进一步发展	關【係】的進一步【發】展
旁观者清当局者迷	旁觀者清【當】局者迷
北京日报报业集团	北京日報報業集【團】
梅里斯达斡尔族区	梅【里】斯達斡爾族區
美国通用会计准则	美國通用會計【準】則
造血干细胞捐献者	造血【幹】細胞捐獻者
河南蒙古族自治县	河南【蒙】古族自治縣
可移植的操作系统	可移植的操作【係】統
特雷西麦克格雷迪	特雷西麥【克】格雷迪
就可以单向收费了	就可以單【向】收費【了】
发展友好合作关系	【發】展友好合作關【係】
千里之堤毁于蚁穴	【千】【里】之堤毀於蟻穴
半路杀出个程咬金	半路殺【出】個程咬金
昨日接受记者采访	昨日接受記者【採】訪
不怕一万就怕万一	不怕一【萬】就怕【萬】一
病态窦房结综合征	病態竇房結綜合【徵】
在巴西里约热内卢	在巴西【里】約熱內盧
大难不死必有后福	大難不死必有【後】福
张家川回族自治县	張家川【回】族自治縣
签订股权分置改革	【籖】訂股權分置改革
箭在弦上不得不发	箭在弦上不得不【發】
跑了和尚跑不了庙	跑【了】和尚跑不【了】廟
燕雀安知鸿鹄之志	燕雀安知鴻鵠之【志】
斯德哥尔摩综合症	斯德哥爾摩綜合【症】
哥伦布发现新大陆	哥倫【佈】【發】現新大陸
首相参拜靖国神社	首相【參】拜靖國神社
出其不意攻其不备	【出】其不意攻其不備
老王卖瓜自卖自夸	老王賣瓜自賣自【誇】
春生夏长秋收冬藏	春生夏長【秋】收【冬】藏
一言既出驷马难追	一言既【出】駟馬難追
早知今日何必当初	早知今日何必【當】初
农村发展研究中心	農村【發】展研究中心
科研项目奥林匹克	科研項目奧林匹【克】
动脉硬化性心脏病	動脈硬化性心【髒】病
商品住宅空置面积	商品住宅空置【面】積
这是一种什么样的	這是一【種】什麼樣的
新闻出版总署音像	新聞【出】版總署音像
佛罗里达州肯尼迪	佛羅【里】達州肯尼迪
自力更生丰衣足食	自力更生【豐】衣足食
你快回来你快回来	你快【回】來你快【回】來
伊朗外交部发言人	伊朗外交部【發】言人
股指期货即将推出	股指期貨即將推【出】
兼听则明偏信则暗	兼聽則明偏信則【暗】
亚麻色头发的少女	亞麻色頭【發】的少女
那你现在在哪里啊	那你現在在哪【里】啊
大门不出二门不迈	大門不【出】二門不邁
国际复兴开发银行	國際【復】興開【發】銀行
真人面前不说假话	真人【面】前不說假話
养兵千日用兵一时	養兵【千】日用兵一時
费尽九牛二虎之力	費【盡】九牛二虎之力
中国民族网络游戏	中國民族網絡【遊】戲
暗暗啊啊啊啊啊啊	【暗】【暗】啊啊啊啊啊啊
你现在在干什么呀	你現在在【幹】什麼呀
注射用头孢哌酮钠	【注】射用頭孢哌酮鈉
只是一个时间问题	【只】是一個時間問題
圣皮埃尔和密克隆	聖皮埃爾和密【克】隆
左氧氟沙星注射液	左氧氟沙星【注】射液
弱水三千只取一瓢	弱水三【千】【只】取一瓢
前人栽树后人乘凉	前人栽樹【後】人乘涼
开放的数据库连接	開放的數【據】庫連接
美军士兵在伊拉克	美軍士兵在伊拉【克】
苦海无边回头是岸	苦海無邊【回】頭是岸
可是你一定要幸福	可是你一定要【幸】福
面向对象编程语言	【面】【向】對象編程語言
爱上一个人只需要	愛上一個人【只】需要
纳斯达克股票市场	納斯達【克】股票市場
可编程逻辑控制器	可編程邏輯控【制】器
那你什么时候回去	那你什麼時候【回】去
发生特大瓦斯爆炸	【發】生特大瓦斯爆炸
士别三日刮目相看	士【別】三日【刮】目相看
第一次见面的时候	第一次見【面】的時候
在短短的几年之内	在短短的【幾】年之內
欲加之罪何患无词	【欲】加之罪何患無詞
十九岁的最后一天	十九歲的最【後】一天
你是干什么工作的	你是【幹】什麼工作的
在主席台就座的有	在主席【臺】就座的有
战无不胜攻无不克	戰無不勝攻無不【克】
国防部长伊万诺夫	國防部長伊【萬】諾夫
你什么时候回来呀	你什麼時候【回】來呀
日出而作日入而息	日【出】而作日入而息
系统资源管理程序	【係】統資源管理程序
我们什么时候才能	我們什麼時候【才】能
继续参拜靖国神社	繼續【參】拜靖國神社
不知道说什么才好	不知道說什麼【才】好
千军易得一将难求	【千】軍易得一將難求
奥妮克希亚的头颅	奧妮【克】希亞的頭顱
注射用头孢曲松钠	【注】射用頭孢【曲】【鬆】鈉
毫无准备的情况下	毫無【準】備的情況下
再次参拜靖国神社	再次【參】拜靖國神社
希尔斯布莱德丘陵	希爾斯【佈】萊德丘陵
应当立案而不立案	應【當】立案而不立案
频道更多精彩内容	頻道更多精【彩】內容
注射用头孢噻肟钠	【注】射用頭孢噻肟鈉
那我就不打扰你了	那我就不打擾你【了】
不知什么时候才能	不知什麼時候【才】能
差之毫厘失之千里	差之毫釐失之【千】【里】
要到什么时候才能	要到什麼時候【才】能
你什么时候回去的	你什麼時候【回】去的
复方氨基酸注射液	【復】方氨基酸【注】射液
我的地盘我说了算	我的地盤我說【了】算
游泳运动管理中心	【遊】泳運動管理中心
党十一届三中全会	【黨】十一屆三中全會
行业协会游戏软件	行業協會【遊】戲軟件
社会发展十年规划	社會【發】展十年規【劃】
四体不勤五谷不分	四體不勤五【谷】不分
技术经济研究中心	技【術】經濟研究中心
什么时候才能真正	什麼時候【才】能真正
这就是你的不对了	這就是你的不對【了】
百足之虫死而不僵	百足之蟲死而不【僵】
青菜萝卜各有所爱	青菜蘿【卜】各有所愛
参议院军事委员会	【參】議院軍事委員會
六方会谈共同声明	六方會談共【同】聲明
别拿版主不当干部	【別】拿版主不【當】【幹】部
二号人物扎瓦赫里	二號人物【扎】瓦赫【里】
不管以后发生什么	不管以【後】【發】生什麼
西安人民广播电台	西安人民廣播電【臺】
爱我别走如果你说	愛我【別】走如果你說
仇人相见分外眼红	【仇】人相見分外眼紅
送君千里终须一别	送君【千】【里】終【須】一【別】
蜂王浆冻干粉含片	蜂王漿凍【幹】粉含片
肃北蒙古族自治县	肅北【蒙】古族自治縣
一叶落而知天下秋	一葉落而知天下【秋】
什么也没有发生过	什麼也沒有【發】生過
外交部新闻发言人	外交部新聞【發】言人
不怕一万只怕万一	不怕一【萬】【只】怕【萬】一
兼听则明偏听则暗	兼聽則明偏聽則【暗】
两虎相斗必有一伤	兩虎相【鬭】必有一傷
葡萄糖酸钙注射液	葡萄糖酸鈣【注】射液
攻其一点不及其余	攻其一點不及其【餘】
在一定历史条件下	在一定【歷】史條件下
差之毫厘谬以千里	差之毫釐謬以【千】【里】
可编程只读存储器	可編程【只】讀存儲器
甲状腺机能减退症	甲狀腺機能減退【症】
丝毫都没有注意到	絲毫都沒有【注】意到
兄弟同心其力断金	兄弟【同】心其力斷金
风机盘管空调系统	風機盤管空調【係】統
注射用氨苄西林钠	【注】射用氨苄西林鈉
珠江经济广播电台	珠江經濟廣播電【臺】
什么时候才能找到	什麼時候【才】能找到
一切都是命中注定	一切都是命中【注】定
有难同当有福同享	有難【同】【當】有福【同】享
老总已经呆在那里	老總已經呆在那【里】
复杂指令集计算机	【復】雜指令集計算機
最后一次为你难过	最【後】一次爲你難過
武装力量总参谋长	武裝力量總【參】謀長
明尼苏达森林狼队	明尼【蘇】達森林狼隊
不当家不知柴米贵	不【當】家不知柴米貴
你什么时候回来的	你什麼時候【回】來的
愚者千虑必有一得	愚者【千】慮必有一得
逻辑链路控制协议	邏輯【鏈】路控【制】協議
拳不离手曲不离口	拳不離手【曲】不離口
黄钟毁弃瓦釜雷鸣	黃【鍾】毀棄瓦釜雷鳴
失之毫厘差之千里	失之毫釐差之【千】【里】
肠出血性大肠杆菌	腸【出】血性大腸桿菌
你的爸爸会得绝症	你的爸爸會得絕【症】
当断不断反受其乱	【當】斷不斷反受其亂
人中吕布马中赤兔	人中呂【佈】馬中赤兔
靡不有初鲜克有终	靡不有初鮮【克】有終
同声相应同气相求	【同】聲相應【同】氣相求
茕茕孑立形影相吊	煢煢孑立形影相【吊】
什么时候才能结束	什麼時候【才】能結束
