共产党员先进性教育	共產【黨】員先進性教育
联合国工业发展组织	聯合國工業【發】展組織
临兵斗者皆阵列在前	臨兵【鬭】者皆陣列在前
我很丑可是我很温柔	我很【醜】可是我很溫柔
混凝土结构设计规范	混凝土結構設計規【範】
做一天和尚撞一天钟	做一天和尚撞一天【鍾】
经济体制改革办公室	經濟體【制】改革辦公室
国家建筑材料工业局	國家建【築】材料工業局
具有特别重要的意义	具有特【別】重要的意義
国家科学技术委员会	國家科學技【術】委員會
你究竟有几个好妹妹	你究竟有【幾】個好妹妹
巴里坤哈萨克自治县	巴【里】坤哈薩【克】自治縣
经济体制改革委员会	經濟體【制】改革委員會
恰似一江春水向东流	恰似一江春水【向】東流
大通回族土族自治县	大通【回】族土族自治縣
没有发现有什么问题	沒有【發】現有什麼問題
一万年太久只争朝夕	一【萬】年太久【只】爭朝夕
故国不堪回首月明中	故國不堪【回】首月明中
我是真的付出我的爱	我是真的付【出】我的愛
国防科学技术委员会	國防科學技【術】委員會
骨髓增生异常综合症	骨髓增生異常綜合【症】
姜太公钓鱼愿者上钩	【薑】太公釣魚願者上鉤
海事诉讼特别程序法	海事訴訟特【別】程序法
中国共产主义青年团	中國共產主義青年【團】
穿过你的黑发我的手	穿過你的黑【發】我的手
我被青春撞了一下腰	我被青春撞【了】一下腰
舍不得孩子套不住狼	【舍】不得孩子套不住狼
基于构件的软件开发	基於構件的軟件開【發】
当一天和尚撞一天钟	【當】一天和尚撞一天【鍾】
肾素血管紧张素系统	腎素血管緊張素【係】統
建立大使级外交关系	建立大使級外交關【係】
葡萄糖氯化钠注射液	葡萄糖氯化鈉【注】射液
寻甸回族彝族自治县	尋甸【回】族彞族自治縣
察布查尔锡伯自治县	察【佈】查爾錫伯自治縣
景谷傣族彝族自治县	景【谷】傣族彞族自治縣
民和回族土族自治县	民和【回】族土族自治縣
安能摧眉折腰事权贵	安能摧眉【折】腰事權貴
中国国际民间艺术节	中國國際民間藝【術】節
寂寞梧桐深院锁清秋	寂寞梧桐深院鎖清【秋】
庐山谣寄卢侍御虚舟	廬山謠寄盧侍【御】虛舟
燕雀安知鸿鹄之志哉	燕雀安知鴻鵠之【志】哉
盐酸林可霉素注射液	鹽酸林可霉素【注】射液
舍不得孩子套不着狼	【舍】不得孩子套不著狼
不知道该说什么好了	不知道該說什麼好【了】
别是一般滋味在心头	【別】是一般滋味在心頭
计算机辅助几何设计	計算機輔助【幾】何設計
辋川闲居赠裴秀才迪	輞川閑居贈裴秀【才】迪
天高云淡望断南飞雁	天高【雲】淡望斷南飛雁
巍山彝族回族自治县	巍山彞族【回】族自治縣
做一日和尚撞一天钟	做一日和尚撞一天【鍾】
非离子型表面活性剂	非離子型【表】【面】活性劑
空间数据库管理系统	空間數【據】庫管理【係】統
正电子发射断层扫描	正電子【發】射斷層掃描
兄弟阋于墙外御其侮	兄弟鬩於牆外【御】其侮
计算机辅助建筑设计	計算機輔助建【築】設計
肾上腺素受体阻断药	腎上腺素受體阻斷【藥】
硫酸卡那霉素注射液	硫酸卡那霉素【注】射液
只可意会而不可言传	【只】可意會而不可言傳
检察官职业道德规范	檢察官職業道德規【範】
三日不见当刮目相看	三日不見【當】【刮】目相看
盐酸利多卡因注射液	鹽酸利多卡因【注】射液
又不道流年暗中偷换	又不道流年【暗】中偷換
同步多媒体集成语言	【同】步多媒體集成語言
复方氨基比林注射液	【復】方氨基比林【注】射液
盐酸普鲁卡因注射液	鹽酸普魯卡因【注】射液
硫酸阿米卡星注射液	硫酸阿米卡星【注】射液
光纤分布式数据接口	光【纖】分【佈】式數【據】接口
计算机辅助工艺规划	計算機輔助工藝規【劃】
